SubjID,prID,block,trial,word,rt
16336eafc8f7f6,0,1,0,beak,873.7083333333333
16336eafc8f7f6,0,1,1,back,1056.4791666666667
16336eafc8f7f6,0,1,2,cap,937.7708333333334
16336eafc8f7f6,0,1,3,cat,1228.875
16336eafc8f7f6,0,1,4,cake,957.625
16336eafc8f7f6,0,1,5,beat,590.1041666666666
16336eafc8f7f6,0,1,6,bat,545.25
16336eafc8f7f6,0,1,7,cape,833.8333333333334
16337629c452bc,0,1,0,cat,20
16337629c452bc,0,1,1,back,301.1875
16337629c452bc,0,1,2,beat,290.4791666666667
16337629c452bc,0,1,3,beak,280.5
16337629c452bc,0,1,4,cake,151.0625
16337629c452bc,0,1,5,bat,203.625
16337629c452bc,0,1,6,cape,174.375
16337629c452bc,0,1,7,cap,327.3333333333333
