SubjID,trial,block,file1,file2,filedur,loadtime,status,response,rt
test5c939c8d0d9f1,19,4,sounds/pyx_dur5_phon2_ka5_2,sounds/pyx_dur2_phon2_ka2_2,421,0,OK,z,1415
test5c93bfe2da008,0,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur2_phon2_ka2_2,421,45,OK,z,2295
test5c93bfe2da008,1,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur2_phon2_ka5_2,421,0,slow_response,m,27135
test5c93bfe2da008,2,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur2_phon2_ka2_2,421,0,slow_response,m,9509
test5c93bfe2da008,3,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur5_phon5_ka5_2,509,55,slow_response,z,6495
test5c93bfe2da008,4,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur2_phon5_ka2_2,428,0,OK,z,1089
test5c93bfe2da008,5,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur2_phon5_ka2_2,428,0,OK,m,1674
test5c93bfe2da008,6,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur5_phon2_ka5_2,502,75,OK,z,1621
test5c93bfe2da008,7,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur5_phon5_ka2_2,509,100,OK,m,1500
test5c93bfe2da008,8,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur5_phon5_ka5_2,509,0,OK,z,651
test5c93bfe2da008,9,4,sounds/pyx_dur5_phon2_ka5_2,sounds/pyx_dur2_phon2_ka2_2,421,0,early_response,m,4843
test5c93bfe2da008,10,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur2_phon5_ka2_2,428,0,OK,z,899
test5c93bfe2da008,11,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur2_phon2_ka5_2,421,0,OK,z,1204
test5c93bfe2da008,12,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur2_phon2_ka2_2,421,0,OK,z,1028
test5c93bfe2da008,13,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur5_phon5_ka2_2,509,0,OK,z,1083
test5c93bfe2da008,14,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur5_phon2_ka5_2,502,0,OK,m,2311
test5c93bfe2da008,15,4,sounds/pyx_dur2_phon2_ka5_2,sounds/pyx_dur5_phon5_ka5_2,509,0,OK,z,1293
test5c93bfe2da008,16,4,sounds/pyx_dur5_phon2_ka5_2,sounds/pyx_dur2_phon2_ka5_2,421,0,OK,m,1348
test5c93bfe2da008,17,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur2_phon2_ka5_2,421,0,OK,z,925
test5c93bfe2da008,18,4,sounds/pyx_dur2_phon5_ka2_2,sounds/pyx_dur5_phon2_ka5_2,502,0,OK,z,1458
test5c93bfe2da008,19,4,sounds/pyx_dur2_phon2_ka2_2,sounds/pyx_dur5_phon5_ka2_2,509,0,OK,z,1682
