SubjID,block,trial,file1,filedur,loadtime,status,response,rt
162f7d69c0dcf7,1,0,movies/flower.webm,5059,100,OK,word,7068
162f7d69c0dcf7,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,115,OK,nonword,797
162f7d69c0dcf7,1,2,movies/ed_hd.ogv,653792,55,OK,word,621
162f7d6b147137,1,0,movies/ed_hd.ogv,653792,5,OK,nonword,3767
162f7d7215fb4e,1,0,movies/flower.webm,5059,10,OK,nonword,2942
162f7d7215fb4e,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,95,OK,word,3618
162f7d7215fb4e,1,2,movies/ed_hd.ogv,653792,50,OK,nonword,2771
162f7d77303fb5,1,0,movies/ed_hd.ogv,653792,55,OK,word,7939
162f7d77303fb5,1,1,movies/flower.webm,5059,85,OK,nonword,2575
162f7d77303fb5,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,75,OK,word,2800
162f7d983a0aae,1,0,movies/flower.webm,5059,105,OK,word,2299
162f7d983a0aae,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,100,OK,nonword,3247
162f7d983a0aae,1,2,movies/ed_hd.ogv,653792,70,OK,word,1664
162f7d9e99a9fe,1,0,movies/flower.webm,5059,100,OK,word,1244
162f7d9e99a9fe,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,105,OK,word,3991
162f7da4706e96,1,0,movies/flower.webm,5059,5,OK,word,2915
162f7da4706e96,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,30,OK,nonword,4969
162f7dc5485ae5,1,0,movies/flower.webm,5059,85,OK,nonword,2688
162f7dc5485ae5,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,nonword,12312
162f7dc5485ae5,1,2,movies/ed_hd.ogv,653792,80,OK,nonword,3118
162f7dc736242b,1,0,movies/flower.webm,5059,5,OK,word,3903
162f7dc736242b,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,115,OK,word,6886
162f7dc736242b,1,2,movies/ed_hd.ogv,653792,60,OK,word,4390
162f7dc9175907,1,0,movies/ed_hd.ogv,653792,100,OK,word,1653
162f7dc9175907,1,1,movies/flower.webm,5059,125,OK,nonword,4562
162f7dc9175907,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,105,OK,word,5253
162f7dcb339d47,1,0,movies/ed_hd.ogv,653792,5,OK,word,3048
162f7dcb339d47,1,1,movies/flower.webm,5059,105,OK,nonword,7927
162f7dcc868b00,1,0,movies/flower.webm,5059,10,OK,word,1707
162f7dcc868b00,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,30,OK,word,2625
162f7dcc868b00,1,2,movies/ed_hd.ogv,653792,60,unallowed_response,nonword,7218
162f7dce08c555,1,0,movies/flower.webm,5059,125,OK,word,491
162f7e0a754697,1,0,movies/ed_hd.ogv,653792,35,OK,word,3388
162f7e0a754697,1,1,movies/flower.webm,5059,105,slow_response,nonword,36708
162f7e0a754697,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,85,OK,nonword,462935
162f7e4af3ad9c,1,0,movies/flower.webm,5059,90,OK,word,3150
162f7e4fe4c5d5,1,0,movies/ed_hd.ogv,653792,50,OK,nonword,4343
162f7e4fe4c5d5,1,1,movies/flower.webm,5059,10,OK,word,2186
162f7e4fe4c5d5,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,215,OK,nonword,16797
162f7ee6025548,1,0,movies/flower.webm,5059,165,OK,word,2202
162f7ee6025548,1,1,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,nonword,9236
162f7ee6025548,1,2,movies/ed_hd.ogv,653792,65,OK,word,6154
162f7ef26d60cc,1,0,movies/ed_hd.ogv,653792,40,OK,nonword,1028
162f7efd5a811d,1,0,movies/ed_hd.ogv,653792,40,OK,nonword,5790
162f7f005bd558,1,0,movies/ed_hd.ogv,653792,5,OK,nonword,8157
162f7f005bd558,1,1,movies/flower.webm,5059,10,OK,word,1441
162f7f005bd558,1,2,movies/big_buck_bunny_720p_surround.mp4,596503,110,OK,word,8344
162f7f03025406,1,0,movies/flower.webm,5059,90,OK,word,1933
