SubjID,trial,block,file1,filedur,loadtime,status,response,option,rt
26225154fb4590,33,2,sounds/dice_0,630,0,OK,dice,<invalid>,525
26225154fb4590,34,2,sounds/dice_20,630,0,OK,dice,<invalid>,497
26225154fb4590,35,2,sounds/dice_80,630,0,OK,tice,<invalid>,618
26225154fb4590,36,2,sounds/dice_0,630,0,OK,dice,<invalid>,699
26225154fb4590,37,2,sounds/dice_80,630,0,OK,tice,<invalid>,664
26225154fb4590,38,2,sounds/dice_20,630,0,OK,dice,<invalid>,526
26225154fb4590,39,2,sounds/dice_0,630,0,OK,dice,<invalid>,457
26225154fb4590,40,2,sounds/dice_0,630,0,OK,dice,<invalid>,500
26225154fb4590,41,2,sounds/dice_20,630,0,OK,dice,<invalid>,520
26225154fb4590,42,2,sounds/dice_60,630,0,OK,tice,<invalid>,434
26225154fb4590,43,2,sounds/dice_20,630,0,OK,dice,<invalid>,727
26225154fb4590,44,2,sounds/dice_80,630,0,OK,tice,<invalid>,723
26225154fb4590,45,2,sounds/dice_60,630,0,OK,tice,<invalid>,517
26225154fb4590,46,2,sounds/dice_20,630,0,OK,dice,<invalid>,517
26225154fb4590,47,2,sounds/dice_40,630,0,OK,dice,<invalid>,676
26225154fb4590,48,2,sounds/dice_80,630,0,OK,tice,<invalid>,504
26225154fb4590,49,2,sounds/dice_20,630,0,OK,dice,<invalid>,635
