sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
sounds/type_0,dype,type,dype
sounds/type_20,dype,type,dype;type
sounds/type_40,dype,type,dype;type
sounds/type_60,dype,type,dype;type
sounds/type_80,dype,type,type
